Data,Anúncios comerciais (minutos),Tempo de anúncios (em seg.) por hora,Média de espectadores,Mensagens do chat,Participantes do chat,Visualiz. de clipes,Clipes criados,Seguidores,Espectadores de hospedagem e raids (%),Visualiz. ao vivo,Máximo de espectadores,Minutos assistidos,Minutos transmitidos,Espectadores únicos,Sub-receita,Renda com o Prime,Receita de inscrições de presente,Receita de inscrições de presente de múltiplos meses,Receita de Bits,Receita de anúncios,Receita das vendas de jogos,Receita de extensões,Receita de patrocínios,Receita de outras interações com Bits,Inscrições Prime,Total de inscrições pagas,Inscritos Grupo 1,Inscritos Grupo 2,Inscritos Grupo 3,Total de inscrições de presente,Inscrições Grupo 1 de presente,Total de inscrições de presente de múltiplos meses,Inscrições de presente de múltiplos meses do Grupo 1,Inscrições de presente de múltiplos meses do Grupo 2,Inscrições de presente de múltiplos meses do Grupo 3
Mon May 18 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 19 2020,0,0,1.17,5,1,0,0,2,0,3,2,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed May 20 2020,0,0,8.9,385,19,8,6,28,30.44,246,58,2457,276,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu May 21 2020,0,0,6.23,216,25,1,2,23,0,92,16,1097,175,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri May 22 2020,0,0,27.83,288,39,4,0,44,15.09,594,128,5288,187,492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat May 23 2020,0,0,11.76,442,15,1,0,12,14.56,434,38,4456,370,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun May 24 2020,0,0,3.08,64,7,0,0,3,0,42,6,515,167,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon May 25 2020,0,0,3.96,294,14,0,1,5,0,73,9,765,192,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue May 26 2020,1,14.4,324.44,1173,132,5,7,206,12.4,31004,1794,81109,250,21419,0,1.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Wed May 27 2020,0,0,157.51,603,31,20,1,11,22.31,13557,576,37015,236,9969,1.17,13.98,0,0,0,0.11,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0
Thu May 28 2020,17,209.59,13.22,740,36,0,0,9,7.54,407,93,3861,292,235,0,1.75,0,0,0,0.03,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Fri May 29 2020,28,420,177.68,2201,581,13,19,741,44.69,12769,6598,42287,240,9095,0,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat May 30 2020,21,205.99,460.54,1187,74,71,4,33,27.68,31058,1586,169020,367,22845,0.94,3.5,0,0,0,0.17,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
Sun May 31 2020,4,39.89,15.77,1217,50,17,1,27,7.49,946,82,5661,361,670,0,3.5,0,0,0,0.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Mon Jun 01 2020,16,225.88,122.59,815,83,14,6,59,35.3,5057,1639,31261,255,4048,0,0,0,0,0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 02 2020,27,317.65,93.18,1709,82,9,5,56,44.32,2653,1125,28698,306,2040,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 03 2020,18,239.11,38.77,2243,42,15,22,4,29.26,723,106,10546,271,464,0,1.75,0,0,0,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Thu Jun 04 2020,18,255.12,19.29,1541,41,22,3,11,9.51,453,32,4919,254,308,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 05 2020,21,358.29,17.09,887,40,6,4,16,6.26,356,26,3641,211,229,0,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 06 2020,30,371.13,12.67,779,43,3,1,7,7.97,377,20,3700,291,252,0,3.5,0,0,0,0.03,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Sun Jun 07 2020,24,256.38,11.85,909,46,27,5,17,17.08,367,53,4005,337,255,0,1.75,0,0,0,0.02,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mon Jun 08 2020,18,253.13,69.19,1165,66,1,2,82,43.62,2146,527,17921,256,1796,0,0,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 09 2020,12,168.09,26.39,1125,37,8,0,6,25.55,429,64,6861,257,316,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 10 2020,0,0,14.96,1080,38,0,0,4,0.92,278,25,3606,237,175,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 11 2020,0,0,13.54,1510,40,10,10,10,1.45,385,22,3994,293,169,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 12 2020,3,44.44,9.03,1040,32,16,11,7,1.21,360,18,2230,243,220,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 13 2020,6,86.75,9.76,968,31,90,6,6,0,211,16,2509,249,126,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
