Dia,Mês,Ano,Local,Valor,Parcelas,ValorParcela
23,4,2020,Condor,228.97,1,228.97
7,5,2020,Nissei,116.25,1,116.25
12,5,2020,PopHouse,67.24,1,67.24
13,5,2020,Condor,300.64,1,300.64
15,5,2020,Petz,121.78,1,121.78
22,5,2020,Nissei,109.24,1,109.24
25,5,2020,Condor,170.44,1,170.44
2,6,2020,Nissei,85.21,1,85.21
10,6,2020,Condor,263.68,1,263.68
16,6,2020,Panvel,79.77,1,79.77
23,6,2020,Condor,247.81,1,247.81
7,7,2020,Condor,191.15,3,63.72
7,7,2020,Nissei,172.30,6,28.72
16,7,2020,Condor,352.08,6,58.68
27,7,2020,PopHouse,107.86,1,107.86
27,7,2020,Condor,222.20,4,55.55
3,8,2020,Nissei,111.43,4,27.86
11,8,2020,Americanas,145.59,4,36.40
12,8,2020,Condor,228.68,4,57.17
18,8,2020,Nissei,236.70,6,39.45
24,8,2020,Condor,233.42,4,58.36
24,8,2020,Curso,484.16,4,121.04
1,9,2020,Submarino,96.72,5,19.34
2,9,2020,Nissei,69.13,2,34.57
5,9,2020,Americanas,279.84,10,27.98
7,9,2020,Condor,240.40,4,60.10
14,9,2020,Nissei,223.26,6,37.21
18,9,2020,iFood,63.60,1,63.60
23,9,2020,Nissei,158.13,5,31.63
3,10,2020,Condor,146.36,2,73.18
13,10,2020,Nissei,360.71,6,60.12
18,10,2020,Condor,131.17,2,65.59
27,10,2020,Uber,13.19,1,13.19
3,11,2020,Condor,320.84,5,64.17
21,11,2020,Panvel,144.44,5,28.89
2,12,2020,Americanas,209.52,12,17.46
5,12,2020,Condor,188.19,4,47.05
8,12,2020,Uber,3.54,1,3.54
8,12,2020,CAOA,693.03,3,231.01
14,12,2020,Americanas,205.90,12,17.15
17,12,2020,Condor, 238.20,4,59.55
18,12,2020,Uber,16.46,1,16.46
22,12,2020,99Pay, 28.63,1,28.63
30,12,2020,Condor,160.60,3,53.53
2,1,2021,iFood,2.00,1,2.00
5,1,2021,Nissei,248.61,6,41.44
15,1,2021,Bionostic, 87.5,1,87.5
25,1,2021,Magistral, 121,2,60.5
8,3,2021,Condor,239.27,4,59.82
10,3,2021,Panvel,281,8,35.13
16,3,2021,Condor,215.96,4,53.99
25,3,2021,Panvel,373.58,10,37.36
29,3,2021,Condor, 219.44,4,54.86
14,5,2021,Condor,220.59,4,55.15
25,5,2021,Clinica,30,1,30
27,5,2021,Petz,80.7,1,80.7
29,5,2021,Gasolina,207.43,1,207.43
1,6,2021,Clinica,675,6,112.5
4,6,2021,Condor,181.24,3,60.41
8,12,2021,Gasolina,245.19,1,245.19
13,12,2021,Americanas, 67.26,1,67.26
18,12,2021,Almoço,140.50,1,140.50
29,12,2021,Condor,195.78,3,65.26
5,1,2022,CAOA,724.44,3,241.48
10,1,2022,Condor,139,2,69.5
18,3,2022,Condor,176.22,3,58.74
13,4,2022,Condor,168.47,3,56.16
13,4,2022,Muffato,81.18,1,81.18
26,4,2022,Adega,36.27,1,36.27
17,5,2022,Adega,102.12,1,102.12
18,5,2022,Condor,276.48,6,46.08
26,5,2022,Condor,149.59,2,74.80
12,7,2022,Condor,143.33,2,71.67
29,7,2022,Kalunga,106.29,1,106.29
19,8,2022,Condor,365.49,6,60.92
17,9,2022,Gasolina,190.24,1,190.24
28,9,2022,Condor,518.92,5,103.79
1,11,2022,Gasolina,173.13,1,173.13
19,12,2022,VerdeMais,223.70,1,223.70
1,2,2023,Condor,450.82,3,150.28
17,2,2023,RevisaoCarro,400,4,100
27,3,2023,Condor,127.62,1,127.62
5,5,2023,Gasolina,226.51,1,226.51
18,5,2023,Condor,147.56,1,147.56
19,6,2023,Gasolina,216.99,1,216.99
11,7,2023,Amazon,93,4,23.25
17,7,2023,Condor,130.72,1,130.72
20,7,2023,Gasolina,223.72,1,223.72
18,8,2023,Restaurante,66.4,1,66.4
24,10,2023,BrasiliaFaixa1,400,10,40
24,12,2023,BrasiliaFaixa2,1500,20,75
24,01,2024,BrasiliaFaixa3,810,15,54
24,03,2024,BrasiliaFaixa4,1500,20,75
24,05,2024,BrasiliaFaixa5,500.22,9,55.58
24,06,2024,BrasiliaFaixa6,748,17,44
24,10,2024,BrasiliaFaixa7,1008,16,63
24,02,2025,BrasiliaFaixa8,1239,15,82.6
01,11,2023,SeguroIncendio,301.35,1,301.35
11,11,2023,Cinemark,74,1,74
29,11,2023,BateriaCarro,500,3,166.67
16,1,2024,Cadeira,295,6,49.17
24,09,2025,BrasiliaFaixa9,748,17,44
