Dia,Mes,Ano,Dia_semana,Dinheiro,Debito,Credito,Vendas,Movimento,FXA,FXB,FXC,FXD,Compras,Feriado,Campanha,TempMax,TempMin,Clima
26,8,2020,Quarta,360.80,154.5,89.9,605.2,0,0,0,0,0,0,NORMAL,N,24,8,OK
27,8,2020,Quinta,138.81,41.80,141.50,322.11,0,0,0,0,0,0,NORMAL,N,26,8,OK
28,8,2020,Sexta,29.9,148.6,570.85,749.35,0,0,0,0,0,0,NORMAL,N,27,7,OK
29,8,2020,Sabado,118.5,294.6,29.9,443,0,0,0,0,0,0,NORMAL,N,28,12,OK
30,8,2020,Domingo,139.9,0,69.8,209.7,0,0,0,0,0,0,NORMAL,N,30,16,OK
1,9,2020,Terca,79.8,95.6,279.4,454.8,24,0,4,42,54,29,NORMAL,N,17,14,CHUVISCO
2,9,2020,Quarta,0,219.6,0,219.6,29,0,7,34,59,10,NORMAL,N,18,14,NUBLADO
3,9,2020,Quinta,0.0,0.0,0.0,0.0,16,6,0,44,50,0,NORMAL,N,27,15,OK
4,9,2020,Sexta,705.9,130.21,134.7,970.81,22,0,23,50,27,33,VESPERA,N,28,15,OK
5,9,2020,Sabado,137.5,278.1,119.6,535.2,37,0,3,54,43,35,PROLONGADO,N,28,14,OK
6,9,2020,Domingo,219.8,60,189.5,469.3,14,0,14,43,43,43,PROLONGADO,N,29,14,OK
8,9,2020,Terca,0,14.9,104.4,119.3,5,0,0,60,40,40,FERIADO,N,23,15,NUBLADO
9,9,2020,Quarta,0,207.41,165.7,373.11,17,0,14,41,45,23,NORMAL,N,25,16,NUBLADO
10,9,2020,Quinta,65,0,189.7,254.7,24,0,8,38,54,17,NORMAL,N,30,16,OK
11,9,2020,Sexta,76.5,0,179.5,256,26,0,8,46,46,12,NORMAL,N,30,14,OK
12,9,2020,Sabado,8.9,87.7,218.2,314.8,21,0,0,33,67,24,NORMAL,N,32,18,OK
15,9,2020,Terca,0,109.7,91.6,201.3,23,0,4,35,61,13,NORMAL,N,17,9,NUBLADO
16,9,2020,Quarta,0,58.8,149.8,208.6,20,0,5,50,45,10,NORMAL,N,27,13,OK
17,9,2020,Quinta,0,385.4,147.5,532.9,22,0,5,68,27,18,NORMAL,N,26,16,NUBLADO
18,9,2020,Sexta,0,53.7,39.9,93.6,13,0,14,22,64,14,NORMAL,N,27,14,OK
19,9,2020,Sabado,139.70,293.7,0,433.4,37,0,19,43,38,22,NORMAL,N,29,16,OK
21,9,2020,Segunda,3.9,119.8,0,123.7,15,0,20,27,53,13,NORMAL,N,14,10,NUBLADO
22,9,2020,Terca,249.5,169.75,56.85,476.1,30,0,3,34,63,17,NORMAL,N,13,9,NUBLADO
23,9,2020,Quarta,69.8,34.8,0,104.6,24,0,8,50,42,13,NORMAL,N,18,10,NUBLADO
24,9,2020,Quinta,121.82,284.8,67.7,474.32,20,0,0,48,52,24,NORMAL,N,25,14,OK
25,9,2020,Sexta,58.8,200.4,183.3,442.5,26,0,11,31,58,23,NORMAL,N,27,13,OK
26,9,2020,Sabado,114.6,39.9,366.4,520.9,30,0,0,42,58,13,NORMAL,N,31,14,OK
27,9,2020,Domingo,71.8,0,0,71.8,10,0,10,40,50,10,NORMAL,N,33,18,OK
29,9,2020,Terca,69.2,0,18.9,88.1,24,0,4,26,70,4,NORMAL,N,20,15,NUBLADO
30,9,2020,Quarta,0,92.6,144.8,237.4,23,4,13,18,65,19,NORMAL,N,33,15,OK
1,10,2020,Quinta,0,6.9,106.7,113.6,16,0,12,25,63,25,NORMAL,N,34,16,OK
2,10,2020,Sexta,59.80,175.9,61.7,297.4,16,0,6,38,56,31,NORMAL,N,35,19,OK
3,10,2020,Sabado,19.9,185.61,793.2,998.71,34,0,0,39,61,24,NORMAL,N,20,13,NUBLADO
4,10,2020,Domingo,0,75.8,279.6,355.4,12,0,0,8,92,33,NORMAL,N,17,13,NUBLADO
6,10,2020,Terca,9.9,29.9,379.6,419.4,11,0,9,9,82,27,NORMAL,N,32,16,OK
7,10,2020,Quarta,0,89.8,0,89.8,11,0,9,18,73,18,NORMAL,N,30,16,OK
8,10,2020,Quinta,0,98.7,0,98.7,6,0,0,17,83,50,NORMAL,N,23,16,CHUVA LEVE
9,10,2020,Sexta,49.9,269.20,0,319.1,11,0,8,38,54,23,VESPERA,N,17,14,CHUVA LEVE
10,10,2020,Sabado,0,0,0,0,25,0,0,52,48,0,PROLONGADO,N,22,11,OK
11,10,2020,Domingo,0,0,139.8,139.8,8,0,0,50,50,13,PROLONGADO,N,21,11,NUBLADO
13,10,2020,Terca,12.9,0,14.9,27.8,11,0,0,27,73,18,NORMAL,N,29,12,NUBLADO
14,10,2020,Quarta,0,114.10,39.39,154,14,0,7,7,86,29,NORMAL,FACAS SACAROLHAS,30,15,OK
15,10,2020,Quinta,0,0,136.5,136.5,18,0,5,39,56,11,NORMAL,FACAS SACAROLHAS,20,13,NUBLADO
16,10,2020,Sexta,234.7,199.7,0,434.4,24,0,4,29,67,25,NORMAL,FACAS SACAROLHAS,19,11,NUBLADO
17,10,2020,Sabado,0,72.6,289.7,362.3,29,0,0,48,52,14,NORMAL,FACAS SACAROLHAS,19,11,NUBLADO
18,10,2020,Domingo,0,0,0,0,11,0,9,36,55,0,NORMAL,FACAS SACAROLHAS,20,12,NUBLADO
