Dia,Mes,Ano,Dia_semana,Dinheiro,Debito,Credito,Vendas,Movimento,FXA,FXB,FXC,FXD,Compras,Feriado,Campanha
26,8,2020,Quarta,360.80,154.5,89.9,605.2,0,0,0,0,0,0,N,N
27,8,2020,Quinta,138.81,41.80,141.50,322.11,0,0,0,0,0,0,N,N
28,8,2020,Sexta,29.9,148.6,570.85,749.35,0,0,0,0,0,0,N,N
29,8,2020,Sabado,118.5,294.6,29.9,443,0,0,0,0,0,0,N,N
30,8,2020,Domingo,139.9,0,69.8,209.7,0,0,0,0,0,0,N,N
1,9,2020,Terca,79.8,95.6,279.4,454.8,24,0,4,42,54,29,N,N
2,9,2020,Quarta,0,219.6,0,219.6,29,0,7,34,59,10,N,N
3,9,2020,Quinta,0.0,0.0,0.0,0.0,16,6,0,44,50,0,N,N
4,9,2020,Sexta,705.9,130.21,134.7,970.81,22,0,23,50,27,33,N,N
5,9,2020,Sabado,137.5,278.1,119.6,535.2,37,0,3,54,43,35,N,N
6,9,2020,Domingo,219.8,60,189.5,469.3,14,0,14,43,43,43,V,N
8,9,2020,Terca,0,14.9,104.4,119.3,5,0,0,60,40,40,S,N
9,9,2020,Quarta,0,207.41,165.7,373.11,17,0,14,41,45,23,N,N
10,9,2020,Quinta,65,0,189.7,254.7,24,0,8,38,54,17,N,N
11,9,2020,Sexta,76.5,0,179.5,256,26,0,8,46,46,12,N,N
12,9,2020,Sabado,8.9,87.7,218.2,314.8,21,0,0,33,67,24,N,N
15,9,2020,Terca,0,109.7,91.6,201.3,23,0,4,35,61,13,N,N
16,9,2020,Quarta,0,58.8,149.8,208.6,20,0,5,50,45,10,N,N
17,9,2020,Quinta,0,385.4,147.5,532.9,22,0,5,68,27,18,N,N
18,9,2020,Sexta,0,53.7,39.9,93.6,13,0,14,22,64,14,N,N
19,9,2020,Sabado,139.70,293.7,0,433.4,37,0,19,43,38,22,N,N
21,9,2020,Segunda,3.9,119.8,0,123.7,15,0,20,27,53,13,N,N
22,9,2020,Terca,249.5,169.75,56.85,476.1,30,0,3,34,63,17,N,N
23,9,2020,Quarta,69.8,34.8,0,104.6,24,0,8,50,42,13,N,N
24,9,2020,Quinta,121.82,284.8,67.7,474.32,20,0,0,48,52,24,N,N
25,9,2020,Sexta,58.8,200.4,183.3,442.5,26,0,11,31,58,23,N,N
26,9,2020,Sabado,114.6,39.9,366.4,520.9,30,0,0,42,58,13,N,N
27,9,2020,Domingo,71.8,0,0,71.8,10,0,10,40,50,10,N,N
29,9,2020,Terca,69.2,0,18.9,88.1,24,0,4,26,70,4,N,N
30,9,2020,Quarta,0,92.6,144.8,237.4,23,4,13,18,65,19,N,N
1,10,2020,Quinta,0,6.9,106.7,113.6,16,0,12,25,63,25,N,N
2,10,2020,Sexta,59.80,175.9,61.7,297.4,16,0,6,38,56,31,N,N
3,10,2020,Sabado,19.9,185.61,793.2,998.71,34,0,0,39,61,24,N,N
4,10,2020,Domingo,0,75.8,279.6,355.4,12,0,0,8,92,33,N,N
